Title,Author,Genre,ISBN,Publisher,Year,Copies,Shelf
The Hobbit,J.R.R. Tolkien,"Fantasy, Adventure",9780547928227,Houghton Mifflin,1937,2,F-TOL
Dune,Frank Herbert,Science Fiction,9780441172719,Ace Books,1965,1,SF-HER
Pride and Prejudice,Jane Austen,"Romance, Classic",9780141439518,Penguin Classics,1813,3,CL-AUS
To Kill a Mockingbird,Harper Lee,Classic,9780061120084,Harper Perennial,1960,2,CL-LEE
The Very Hungry Caterpillar,Eric Carle,Children's,9780399226908,Philomel Books,1969,4,CH-CAR
Charlotte's Web,E.B. White,Children's,9780061124952,Harper & Brothers,1952,3,CH-WHI
1984,George Orwell,"Dystopian, Classic",9780451524935,Signet Classics,1949,2,CL-ORW
The Great Gatsby,F. Scott Fitzgerald,Classic,9780743273565,Scribner,1925,2,CL-FIT
A Brief History of Time,Stephen Hawking,"Science, Nonfiction",9780553380163,Bantam,1988,1,SCI-HAW
Gone Girl,Gillian Flynn,"Mystery, Thriller",9780307588371,Crown Publishing,2012,1,MYS-FLY
